country,days_since_outbreak,household_contacts,total_contacts,times_left_home,handwashes,masks_outside,majority_life_impacted
Norway,480,2.8,8.4,2.1,12.4,75.5,0
Philippines,85,4.5,5.3,1,10.5,93.4,0
Philippines,115,4.7,6.4,1.1,10.2,93.9,0
Philippines,146,5.1,8.1,1.2,9.4,95.4,1
Philippines,176,4.3,8.4,1.3,11,97.3,1
Philippines,207,4.6,7.7,1.3,10.8,97,1
Philippines,238,4,7.6,1.4,11.7,97.2,1
Saudi Arabia,85,4.3,5.9,1.2,10.2,71.5,0
Saudi Arabia,115,4.4,5.9,1.1,10.3,76.6,0
Saudi Arabia,146,4.3,6.8,1.8,10.1,89.9,1
Saudi Arabia,176,5.4,7.9,2,9.5,89.2,1
Saudi Arabia,207,6.3,8,2.5,8.7,88.3,1
Saudi Arabia,238,4.8,9.7,2.4,9.2,87.1,1
Singapore,85,3.1,14.9,1.1,9.6,66.1,0
Singapore,115,2.8,7.8,0.9,8.8,96,0
Singapore,146,2.8,11.4,1.2,8.4,97,1
Singapore,176,3.3,19.2,1.3,8.8,98,1
Singapore,207,3,20.9,1.4,7.6,97.5,1
Singapore,238,3,21.3,1.4,8.3,97.5,1
Singapore,268,3,22.3,1.6,7.7,97.7,1
Singapore,299,2.9,22.7,1.6,9.2,98.1,1
Singapore,329,3.1,30.7,1.4,8.3,97.4,1
Singapore,360,3.2,27.7,1.5,7.6,98.1,1
Singapore,391,3.4,23.5,1.4,7.3,97.6,1
Singapore,419,3.2,26.6,1.5,7.9,97.7,1
Singapore,450,3.2,26.3,1.6,7.7,97.7,1
Singapore,480,3.3,23.8,1.3,8.7,97.9,1
South Korea,85,2.7,12.7,1.8,7.8,92.4,0
South Korea,115,5.1,15.5,2.1,8.4,91,0
South Korea,146,4.5,13.3,2,6.8,89.7,1
South Korea,176,4.1,14.2,2.1,7.9,93,1
South Korea,207,5.1,17,2.4,7.2,94.2,1
South Korea,238,3,12.4,2.1,7.7,94.2,1
South Korea,268,3.4,11,2.1,8.2,94.4,1
South Korea,299,3,10.8,2.1,8.5,93.4,1
South Korea,329,2.6,10.1,1.5,7.4,95.4,1
South Korea,360,3.7,9.6,1.9,8,93.6,1
South Korea,391,4.7,8,2.1,7.7,96.1,1
South Korea,419,4.3,11,1.9,6.8,96.3,1
South Korea,450,4.4,12,1.9,7,95.5,1
South Korea,480,2.7,12,1.9,5.6,96.1,1
Spain,85,3.1,6.1,0.6,10,67.5,0
Spain,115,2.2,5.7,1.1,10.3,84.9,0
Spain,146,3.1,10.5,1.6,11,93.6,1
Spain,176,3.2,12.8,1.9,12,97.2,1
Spain,207,3.6,15.9,1.9,10.4,97.2,1
Spain,238,3,12.7,1.9,11.5,97.9,1
Spain,268,3,12.1,1.7,11,98.1,1
Spain,299,3.1,12.5,1.6,14.9,98,1
Spain,329,2.2,10.5,1.7,11.1,98.2,1
Spain,360,2.4,10,1.4,10.2,97.9,1
Spain,391,2.5,10.4,1.7,10,97.9,1
Spain,419,2.5,11.1,1.7,10.2,97.7,1
Spain,450,2.8,10.7,1.8,9,97.3,1
Spain,480,2.4,13.2,2,9.2,96.8,1
Sweden,85,2.4,21.3,1.7,12,5.6,0
Sweden,115,1.9,19,1.9,11,8,0
Sweden,146,2.9,21.8,2.1,11.3,7,1
Sweden,176,3.3,23,2.2,12,6.5,1
Sweden,207,3.7,26.2,2.3,11.7,6.1,0
Sweden,238,2.8,22.6,2.4,11,6.6,0
