county,state,asians,blacks,hispanics,whites,homeowner,households,housing_units,per_capita_income,foreign_born,pop_2020,pop_2010
Weber County,UT,1.6,1.7,18.7,75.6,73.4,83632,94283,27828,6.9,262223,231236
Weld County,CO,1.8,1.6,30,64.9,72.9,104671,115897,31793,8.7,328981,252825
Weston County,WY,1.7,0.7,4.1,90,83,2891,3568,28531,1.7,6838,7208
Whatcom County,WA,4.8,1.3,9.8,78.3,61.9,86523,99210,32267,10.1,226847,201140
Wheatland County,MT,0.5,0.5,4.7,90.4,74.7,792,1209,21619,3,2069,2168
Wheeler County,OR,1.1,0.2,5.9,87,76.1,640,919,21702,2.9,1451,1441
White Pine County,NV,1.1,5.1,16.7,71,75.6,3516,4536,25675,3.8,9080,10030
Whitman County,WA,8.4,2.4,6.5,78.4,43.6,17999,21262,23560,11.3,47973,44776
Wibaux County,MT,0.6,0.4,3.7,93,79.7,498,580,25591,2.8,937,1017
Wrangell City and Borough,AK,3.2,0.6,3,66.6,67.9,1027,1464,32286,2.8,2127,2369
Yakima County,WA,1.6,1.6,50.2,42.3,62.7,83048,89762,23459,18.7,256728,243231
Yakutat City and Borough,AK,6,2.1,4.7,31.4,66.2,219,471,32198,4.9,662,662
Yamhill County,OR,2,1.2,16.2,76.8,70,36808,39899,31314,8.1,107722,99193
Yavapai County,AZ,1.3,0.9,14.7,80.2,72,98386,120646,30341,6.2,236209,211033
Yellowstone County,MT,0.8,0.8,5.8,85.9,68.4,66385,73862,34451,2.1,164731,147972
Yolo County,CA,15.1,3,31.9,46,51.6,74296,79263,34515,23.2,216403,200849
Yuba County,CA,7.3,4.5,29.1,54,60.5,26354,29049,25583,12.8,81575,72155
Yukon-Koyukuk Census Area,AK,0.6,1,3.1,22.2,72.4,1856,4085,22718,1.3,5343,5588
Yuma County,AZ,1.5,2.6,64.6,30.1,67.1,73098,94641,21758,26.3,203881,195751
Yuma County,CO,0.5,0.6,25.1,72.9,66.9,4028,4565,27955,12.1,9988,10043
