id,tvinat,tvnaat,tvhardat,tvedat,tvsoftat,tvcrat,tvcomat,educ,age,marit,sex
186,7,7,7,5,7,8,3,16,47,2,0
187,10,10,10,8,6,9,4,12,77,2,0
188,7,8,4,5,3,6,6,12,19,1,1
189,5,3,5,3,5,4,6,17,22,1,1
190,5,6,7,7,9,1,5,16,47,2,0
191,6,6,5,5,5,6,6,16,24,1,1
192,0,0,0,0,0,0,0,16,24,1,0
193,1,1,1,1,1,10,10,12,25,1,1
194,8,6,6,4,5,1,2,20,32,1,0
195,10,2,99,99,99,10,1,18,44,2,0
196,0,0,0,0,0,0,0,12,58,3,1
197,2,2,3,2,5,4,4,12,66,1,1
198,10,5,5,5,4,1,5,12,72,2,0
199,0,0,0,0,0,0,0,12,19,1,0
200,6,6,1,5,3,6,4,14,21,1,1
201,0,0,0,0,0,0,0,12,22,1,1
202,5,3,2,5,6,8,9,12,23,5,1
203,7,7,3,3,3,3,6,13,20,1,1
204,8,8,10,10,10,7,8,16,99,9,0
205,5,6,9,7,10,5,3,99,99,2,0
206,7,5,7,2,2,4,7,99,99,9,9
207,0,0,0,0,0,0,0,20,52,2,1
208,9,8,7,6,6,3,5,16,50,2,0
209, , , , , , , ,12,70,2,0
210,8,8,10,5,5,2,2,16,33,1,0
211,4,5,8,4,4,5,5,12,38,1,1
212,5,6,6,6,6,9,8,16,26,1,0
213,4,6,7,8,7,9,7,99,34,1,1
214,5,6,6,4,6,8,10,99,20,1,1
215,5,4,5,3,5,9,10,99,99,9,0
216,10,9,7,1,1,99,10,99,99,1,1
217,8,8,5,5,2,7,6,16,24,1,1
218,5,6,4,6,6,8,7,12,19,1,0
219,4,4,5,5,7,8,9,13,18,1,0
220,9,9,8,2,1,5,1,18,30,1,0
221,1,1,1,1,1,10,8,8,45,1,1
222,2,9,6,3,6,5,5,12,61,2,0
223,1,2,1,3,7,3,3,16,62,2,0
224,1,2,5,4,7,5,5,12,69,4,0
225,1,10,7,3,3,9,9,12,59,1,1
226,0,0,0,0,0,0,0,17,34,2,1
227,0,0,0,0,0,0,0,20,38,3,0
228,7,7,8,7,8,7,2,13,34,2,0
229,5,5,5,5,5,1,5,12,48,2,1
230,10,6,3,10,10,10,6,12,52,2,0
231,99,99,99,99,99,99,99,13,20,1,0
232,10,10,1,1,1,1,1,20,71,2,1
233,5,5,3,3,8,2,9,12,40,1,0
234,9,8,8,5,5,4,4,14,22,1,1
235,8,8,5,5,5,8,6,18,47,2,1
236,0,0,0,0,0,0,0,11,22,1,0
237,8,8,8,1,4,5,0,99,34,2,1
238,4,3,2,2,6,4,9,99,21,1,0
239,7,3,3,2,4,99,7,99,51,2,0
240,5,5,1,1,1,2,5,99,20,1,1
241,10,10,1,1,1,1,1, ,35,2,1
242,7,7,8,10,7,5,1,99,77,2,1
243,10,10,6,6,5,2,8,12,49,3,0
244,8,7,7,5,8,7,5,9,60,2,0
245,0,0,0,0,0,0,0,11,22,1,0
246,0,0,0,0,0,0,0,12,62,2,0
247,0,0,0,0,0,0,0,20,46,3,0
248,10,7,7,7,7,8,5,14,47,3,0
249,0,0,0,0,0,0,0,13,19,1,0
250,6,5,3,3,4,10,1,12,48,2,0
251,7,5,5,5,8,8,1,16,75,2,0
252,8,7,6,3,3,3,1,15,65,2,1
253,8,5,3,99,99,9,9,16,23,1,0
254,10,10,10,7,99,10,1,14,76,1,0
255,10,8,1,2,5,5,8,12,52,1,0
256,6,8,6,5,5,8,8,99,19,1,1
257,0,0,0,0,0,0,0,18,46,2,0
258,7,6,8,10,5,2,5,18,27,1,0
259,7,6,8,10,5,2,5,18,27,1,0
260,7,8,4,1,1,1,1,16,51,2,1
261,6,6,8,8,10,10,5,15,39,2,0
262,1,1,99,99,99,10,10,12,58,4,0
263,9,8,8,8,7,2,4,99,19,1,0
264,10,8,8,1,1,1,10,20,34,2,0
265,10,10,99,99,7,1,1,16,46,2,0
266,4,5,6,7,7,8,8,12,39,2,1
267,4,7,3,7,4,7,8,9,69,4,1
268,10,10,10,1,1,10,1,12,65,3,1
269,0,0,0,0,0,0,0,20,37,2,1
270,10,10,7,8,5,1,2,22,64,2,1
271,1,1,1,1,1,8,8,12,61,4,0
272,8,8,8,4,4,5,4,18,43,1,0
273,7,7,6,3,1,7,10,17,76,2,1
274,0,0,0,0,0,0,0,45,21,1,0
275,5,7,8,2,9,7,2,15,37,3,0
276,6,7,5,5,2,1,3,18,43,2,1
277,6,6,8,8,8,8,10,16,35,2,1
278,8,8,9,9,9,4,4,12,85,4,0
279,0,0,0,0,0,0,0,16,23,1,0
280,3,3,3,5,1,8,4,14,50,2,1
281,9,8,4,3,2,5,2,12,25,1,1
282,1,5,5,1,1,6,99,16,46,2,0
283,5,2,1,1,1,1,5,99,19,1,1
284,7,4,1,99,99,99,99,99,44,2,0
285,10,7,2,2,1,1,1,99,47,2,1
286,5,4,3,8,2,1,1,8,68,4,1
287,6,4,6,1,7,8,10,13,29,3,1
288,9,9,10,5,3,8,7,16,18,1,1
289,3,5,3,5,10,10,10,19,78,4,0
290,7,7,1,1,1,1,1,21,60,2,0
291,1,4,1,1,1,10,1,16,40,2,1
292,7,7,1,1,1,1,1,12,58,2,1
293,10,10,5,1,5,1,1,16,70,4,0
294,5,8,3,1,1,1,1,12,57,2,0
295,2,3,6,99,6,8,7,3,52,5, 
296,7,5,3,3,2,2,7, ,32,1,0
297,8,9,9,8,8,2,9,99,58,2,1
298,8,8,8,8,8,10,10,14,52,2,0
299,1,9,9,9,9,7,5,9,54,1,1
300,7,7,5,5,6,7,6,12,22,1,1
301,9,4,7,7,9,7,5,99,37,2,0
302,10,10,8,10,10,1,1,12,32,1,1
303,5,5,6,7,8,9,6,14,69,3,0
304,8,8,6,6,6,5,5,12,54,2,1
305,7,7,9,9,8,1,1,22,68,2,0
306,1,5,6,5,6,1,1,14,79,4,0
307,0,0,0,0,0,0,0,22,53,2,0
308,5,9,5,7,6,10,10,18,33,2,0
309,3,4,4,8,9,8,10,99,18,1,1
310,4,7,5,3,3,5,8,15,20,1,1
311,99,99,99,99,99,99,99,14,20,1, 
312,1,1,1,6,7,7,10,14,19,1,0
313,99,99,99,99,99,99,99,14,20,1,9
314,2,2,5,5,7,7,7,14,19,1,0
315,0,0,0,0,0,0,0,16,44,1,0
316,10,10,10,10,10,10,10,12,76,2,0
317,7,6,1,1,1,2,8,18,54,1,0
318,7,7,2,2,2,5,6,15,21,1,1
319,7,8,2,1,1,5,8,15,22,1,1
320,8,8,8,10,10,6,2,9,60,4,0
321,1,1,1,1,1,8,7,18,29,2,0
322,3,3,4,1,5,10,1,12,62,2,0
323,0,0,0,0,0,0,0,13,34,1,0
324,0,0,0,0,0,0,0,16, ,2,1
325,5,6,3,3,3,4,3,16,46,1,1
326,0,0,0,0,0,0,0,16,27,1,1
327,2,2,2,1,1,6,8,16,36,2,0
328,1,1,1,1,1,2,7,12,45,4,1
329,0,0,0,0,0,0,0,16,22,2,1
330,8,8,5,3,6,5,2,15,21,1,0
331,4,7,5,5,7,2,4,13,55,3,0
332,10,9,9,7,9,5,8,14,49,1,1
333,4,4,7,8,8,4,1,18,60,2,1
334,1,1,2,3,9,1,1,12,61,2,0
335,8,9,10,10,5,1,1,18,99,2,1
336,1,2,1,1,3,7,1,12,19,1,1
337,8,8,3,1,1,5,8,12,22,1,1
338,7,7,7,1,1,9,4,13,47,2,0
339,5,10,10,2,10,2,10,16,76,3,0
340,0,0,0,0,0,0,0,22,53,1,0
341,4,5,5,6,7,1,1,14,55,1,1
342,5,5,2,1,1,5,9,12,54,2,1
343,8,9,3,10,8,10,10,16,50,1,0
344,8,10,10,5,8,8,10,20,50,2,0
345,9,5,3,1,1,1,1,20,28,1,0
346,3,3,8,9,10,1,3,13,54,2,0
347,8,8,10,10,8,6,4,14,65,2,1
348,2,2,1,2,2,8,5,13,51,4, 
349,5,5,5,99,5,5,5,14,75,4,1
350,8,8,5,5,5,10,1,13,57,3,1
351,1,1,1,8,8,1,8,14,67,2,0
352,4,4,1,4,3,5,6,14,20,1,0
353,4,4,4,5,8,5,6,18,54,5,0
354,5,5,2,2,2,2,2,14,49,2,1
355,0,0,0,0,0,0,0,16,31,2,1
356,8,8,5,3,1,6,5,16,58,2,0
357,0,0,0,0,0,0,0,16,39,1,0
358,7,5,1,1,1,4,4,13,48,2,1
359,0,0,0,0,0,0,0, ,20,1,0
360,2,2,3,5,7,9,10,14,19,1,0
361,0,0,0,0,0,0,0,20,31,2,1
362,0,0,0,0,0,0,0,8,75,1,1
363,10,9,6,1,1,1,1,14,69,2,1
364,9,9,9,9,9,2,2,16,37,3,0
365,5,6,7,5,5,7,6,12,53,2,0
366,8,10,10,5,10,10,10,14,41,2,1
367,0,0,0,0,0,0,0,16,49,1,0
368,8,8,9,9,9,1,1,12,47,2,1
369,0,0,0,0,0,0,0,12,46,2,0
370,10,5,3,5,5,5,10,18,76,4,0
371,5,6,8,7,7,9,6,12,70,2,0
372,7,8,1,1,1,1,5,12,70,2,0
373,3,7,9,9,5,8,1,12,65,4,0
374,5,5,7,8,8,6,5,13,20,1,0
375,9,7,99,99,99,1,2,12,59,4,0
376,99,99,99,99,99,99,99,22,55,3,0
377,4,3,5,1,1,1,5,99,21,1,1
378,5,5,10,10,10,10,5,12,55,4,0
379,7,7,2,3,3,9,2,16,55,2,0
380,7,6,7,7,9,5,5,18,33,1,0
381,4,10,1,1,1,10,8,15,22,1,1
382,0,0,0,0,0,0,0,13,19,1,0
383,1,5,3,2,1,10,1,16,21,1,0
384,10,10,10,10,1,10,1,16,41,1,1
385,4,4,1,1,2,3,5,12,50,1,1
386,3,3,3,3,9,2,1,10,61,2,1
387,3,3,8,8,10,10,1,12,58,1,0
388,0,0,0,0,0,0,0,14,38,2,0
389,0,0,0,0,0,0,0,15,44,2,0
390,7,7,3,1,4,10,1,19,42,2,0
391,5,3,3,1,4,4,1,18,48,3,0
392,9,5,8,5,5,6,1,16,55,2,1
393,5,8,5,5,7,10,10,14,38,2,0
394,4,5,5,1,5,10,6,18,41,1,0
395,2,5,6,6,5,2,4,13,32,2,0
396,0,0,0,0,0,0,0,17,43,2,1
397,7,8,6,5,7,7,7,15,22,1,1
398,9,9,9,5,5,3,1,16,52,2,0
399,0,0,0,0,0,0,0,20,59,2,1
400,0,0,0,0,0,0,0,18,50,1,1
401,10,2,2,4,10,5,5,14,69,3,1
402,6,7,4,4,4,5,5,16,22,1,1
403,5,6,3,5,3,7,1,18,50,4,0
404,9,8,8,9,10,10,10,14,47,2,1
405,9,9,7,9,9,5,6,15,46,2,0
406,1,1,1,1,1,1,1,18,52,2,0
407,3,3,2,2,2,8,2,13,30,2,0
408,9,8,6,6,3,3,5,18,26,2,1
409,2,3,2,1,1,5,6,9,56,2,1
410,9,8,3,4,3,1,1,13,35,2,0
411,4,4,9,5,7,7,6,10,19,1,0
412,3,3,4,2,4,4,4,12,30,2,0
413,6,9,7,2,2,99,99,13,43,4,0
414,4,4,3,3,6,2,3,12,79,4,0
415,2,3,2,1,1,5,6,9,56,2,1
416,4,2,6,2,8,5,1,12,36,2,1
417,8,8,8,8,8,2,99,16,53,3,0
418,10,10,3,4,5,2,1,11,76,4,0
419,8,9,1,1,1,2,1,16,43,2,1
420,1,1,10,10,10,10,1,13,50,2,0
421,0,0,0,0,0,0,0,16,54,1,1
422,10,10,5,10,10,1,1,18,37,1,0
423,10,8,2,1,4,8,1,18,25,1,0
424,5,5,5,5,5,6,4,22,52,2,0
425, , , , , , , ,12,55,3,1
426,5,5,6,3,4,3,5,12,72,2,0
427,6,5,4,7,6,7,5,2,53,2,1
428,1,1,1,7,7,10,10,14,39,1,0
429,5,9,1,1,2,1,2,18,26,1,1
430,3,4,2,1,1,10,1,12,53,2,0
431,3,4,3,3,3,5,6,16,23,1,0
432,7,9,9,9,6,1,4,14,28,2,0
433,9,9,8,8,8,9,6,16,45,2,0
434,10,10,10,10,7,7,2,22,78,9,0
435,10,8,99,99,99,2,8,17,37,3,1
436,8,8,5,1,3,2,1,14,65,2,0
437,10,5,5,5,1,9,9, ,21,1,1
438,10,7,1,2,1,1,1, ,78,4,1
439,0,0,0,0,0,0,0, ,25,1,1
440,5,5,3,1,1,1,8,99,99,2,0
441,7,5,7,10,10,1,10,12,48,2,1
442,6,6,7,5,8,7,3, ,46,2,0
443,6,6,7,4,3,1,1,20,56,1,0
444,5,7,7,8,5,8,8, ,38,1,1
445,5,5,8,6,7,4,8,13,43,2,1
446,1,5,2,2,2,8,4,12,36,2,1
447,9,7,1,1,1,1,1,16,44,2,0
448,99,99,99,99,99,99,99,14,51,2,1
449,8,6,6,8,9,7,3,16,52,2,0
450,5,7,8,9,10,9,1,12,62,2,0
451,2,2,8,8,8,2,2,13,30,3,0
452,8,9,8,8,8,9,9,12,77,4,0
453,2,3,2,2,2,10,6,15,24,1,1
454,3,4,6,7,6,1,8,13,20,1,0
455,8,8,9,9,4,99,99,12,70,2,1
456,7,7,8,6,8,1,4,12,43,2,0
457,2,2,3,1,1,1,1,12,53,2,1
458,2,2,2,2,3,3,2,15,23,1,1
459,9,10,3,1,1,5,4,16,56,2,1
460,1,1,1,1,1,1,3,11,21,1,0
461,10,5,10,2,6,2,1,16,47,2,0
462,10,10,5,2,5,1,1,18,99,1,0
463,0,0,0,0,0,0,0,20,35,2,1
464,5,2,1,2,99,1,1,12,81,2,1
465,7,5,6,6,8,7,1,16,44,1,0
