Status,Progress,Duration..in.seconds.,Finished,RecordedDate,TV,Geslacht,Geslacht_4_TEXT,Leeftijd,Opleiding,Opleiding_11_TEXT,Nationaliteit,Nationaliteit_2_TEXT,Moedertaal,Moedertaal_2_TEXT,Sound_check,timerfiller_First.Click,timerfiller_Last.Click,timerfiller_Page.Submit,timerfiller_Click.Count,timermisinfo_First.Click,timermisinfo_Last.Click,timermisinfo_Page.Submit,timermisinfo_Click.Count,Attentioncheck1,misinfofamiliarity1_1,misinfofamiliarity2_1,timergeencorrectie_First.Click,timergeencorrectie_Last.Click,timergeencorrectie_Page.Submit,timergeencorrectie_Click.Count,timerregular_First.Click,timerregular_Last.Click,timerregular_Page.Submit,timerregular_Click.Count,timersatire_First.Click,timersatire_Last.Click,timersatire_Page.Submit,timersatire_Click.Count,Attentioncheck4,characteristics_1,characteristics_2,characteristics_3,characteristics_4,characteristics_5,characteristics_6,characteristics_7,correctiefam1_1,correctiefam2_1,discountingsatire_1,discountingsatire_2,discountingsatire_3,discountingregfiller_1,discountingregfiller_2,discountingregfiller_3,Veracity_1,mispercepties_1,mispercepties_2,mispercepties_3,mispercepties_4,attnatu_1,attnatu_2,attnatu_3,atthormo_1,atthormo_2,atthormo_3,involvement_1,involvement_2,involvement_3,sourcelikingGC_1,sourcelikingGC_2,sourcelikingGC_3,sourcelikingREG_1,sourcelikingREG_2,sourcelikingREG_3,sourcelikingSAT_1,sourcelikingSAT_2,sourcelikingSAT_3,vertrouwen_1,vertrouwen_2,vertrouwen_3,vertrouwen_4,vertrouwen_5,TikTokgebruik,gezondheidTT1_1,gezondheidTT2_1,gezondheidTT3_1,Religie_1,ACgebruik_1,ACgebruik_2,ACgebruik_3,ACgebruik_4,ACgebruik_5,ACgebruik_6,ACgebruik_7,ACgebruik_8,ACgebruik_9,ACgebruik_10,ACgebruik_11,ACgebruik_12,ACgebruik_13,ACgebruik_14,ACgebruik_15,ACgebruik_16,ACgebruik_17,ACgebruik_18,ACgebruik_19,ACgebruik_18_TEXT,Relatie,Relatie_4_TEXT,Zwanger,Conditie
0,100,18,1,6/28/24 3:31,1,4,21,21,5,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,946,1,6/28/24 3:35,1,1,,26,6,,1,,1,,7,,,,,180.706,182.053,183.404,3,De anticonceptie pil,5,5,105.12,105.12,359.79,1,,,,,,,,,Pasta die sneller kookt,6,6,5,7,7,4,6,4,4,,,,2,5,5,6,5,5,6,5,6,7,6,4,4,4,5,5,5,6,6,7,,,,,,,6,5,6,6,5,7,5,4,5,1,,,1,,,,,,,,,,,,,,,,,,2,,2,misinfo
0,100,1808,1,6/28/24 3:37,1,1,,33,10,,1,,1,,7,,,,,0,0,181.326,0,Cancer hormone free therapy,1,1,,,,,0,0,355.392,0,,,,,sexuele voorlichting - Natuurlijke anticonceptiemiddelen,7,4,5,4,2,2,6,2,3,,,,2,2,2,5,6,2,6,4,6,6,6,4,4,4,7,5,5,,,,6,6,6,,,,7,5,7,3,5,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,2,,2,regular
0,100,1676,1,6/28/24 3:37,1,1,,34,7,,1,,1,,7,,,,,83.194,174.689,175.922,2,Kanker,1,1,,,,,,,,,340.828,371.347,401.333,2,Natuurlijke anticonceptiemiddelen,6,4,4,3,4,4,5,4,6,5,4,5,,,,6,6,2,6,5,5,5,5,5,5,3,4,4,4,,,,,,,7,7,6,5,4,7,2,4,3,1,3,2,1,,1,,,,,,,,,,,,,,,,,,,3,,2,satire
0,100,1684,1,6/28/24 3:37,1,1,,30,5,,1,,1,,7,74.572,192.435,193.572,8,,,,,Hacks om je kruiden la netjes te maken dansen. Make up 3n haar,2,4,246.767,270.113,636.438,3,,,,,,,,,Snel k9ok spaghetti ,6,6,5,7,6,4,7,1,2,,,,2,3,4,5,1,3,6,5,1,1,1,5,5,6,1,1,1,6,6,6,,,,,,,6,4,6,4,6,1,1,4,1,2,,1,,,,,,,,,,,,,,,,,,,3,,2,control
0,100,846,1,6/28/24 3:38,1,1,,30,5,,1,,1,,7,,,,,0,0,174.933,0,Dat de pil veel nadelige effecten kan hebben een zelfs kankerverwekkend kan zijn. ,5,5,,,,,,,,,362.158,362.158,362.681,1,Dat wat de influencers zeggen over de pil niet klopt. Dit met onderbouwing.,7,5,7,7,6,7,6,3,5,2,2,2,,,,4,1,3,7,6,3,3,4,5,4,5,1,1,1,,,,,,,6,7,6,4,4,7,5,4,4,1,3,2,1,,1,,,,,,,,,,,,,,,,,,,3,,1,satire
0,100,970,1,6/28/24 3:47,1,1,,26,5,,1,,1,,7,48.149,251.69,252.98,2,,,,,Over het indelen van de kasten over een dansje en een get ready with me ,6,4,14.634,219.419,362.409,6,,,,,,,,,Pasta,5,4,4,3,2,3,4,4,3,,,,2,2,2,4,2,4,6,5,4,5,4,4,4,3,2,4,4,5,5,5,,,,,,,3,3,6,3,2,8,2,1,5,2,,,,,,,,,1,,,,,,,,,,,,3,,2,control
0,100,963,1,6/28/24 3:47,1,1,,34,6,,1,,1,,7,,,,,0,0,175.515,0,Anticonceptie ,4,4,,,,,,,,,371.825,371.825,372.857,1,Anticonceptie ,4,4,5,7,5,5,4,4,4,4,5,5,,,,5,4,4,4,5,5,5,5,4,5,4,5,5,5,,,,,,,5,5,4,3,4,2,1,1,5,5,5,4,4,,,,,1,,,,,,,,,,,,,,,,3,,2,satire
0,100,37,1,6/28/24 3:47,1,1,,19,3,,1,,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,895,1,6/28/24 3:53,1,1,,20,5,,1,,1,,7,,,,,0,0,175.382,0,Het ging over vitamines die slecht zijn voor vrouwen. Het ging over de bevruchting van een vrouw. Als je de pil slikt kan je gezondheidsrisico s op lopen ,3,3,,,,,356.15,356.15,356.612,1,,,,,Anticonceptie pil. De pil slikken. Onbedoeld zwanger worden. De bijwerkingen van de pil ,6,5,6,6,4,2,7,2,3,,,,1,4,4,4,1,3,5,4,3,4,3,6,4,5,4,4,5,,,,5,6,6,,,,5,3,6,6,4,1,7,3,2,4,,1,,,,,,,,,,,,,,,,,,,1,,2,regular
0,100,19,1,6/28/24 3:54,1,1,,47,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,944,1,6/28/24 3:55,1,1,,33,2,,1,,1,,7,0,0,194.978,0,,,,,"Make up, dansen , tiktok",5,6,0,0,386.911,0,,,,,,,,,Spaghetti snelkokend beter of niet,6,6,7,7,5,5,7,1,4,,,,2,4,4,6,4,3,4,6,5,4,4,4,4,4,3,4,5,6,7,5,,,,,,,6,2,3,1,2,1,4,7,3,1,,,,,1,,,,,,,,,,,,,,,,3,,2,control
0,100,857,1,6/28/24 3:58,1,1,,33,9,,1,,1,,7,,,,,29.68,29.68,175.868,1,Anticonceptie ,5,5,0,0,360.551,0,,,,,,,,,Snelkokende spaghetti ,5,5,6,6,6,5,5,1,2,,,,5,6,5,1,1,5,6,6,2,1,2,5,5,5,1,1,1,5,5,5,,,,,,,6,4,6,4,5,1,1,2,2,1,,1,,,,,,,,,,,,,,,,,,,3,,2,misinfo
0,100,772,1,6/28/24 4:06,1,1,,23,9,,1,,1,,7,,,,,0,0,174.871,0,Gebruik van de pil/anticonceptie,2,4,,,,,,,,,0,0,358.533,0,Anticonceptie/de pil en natuurlijke anticonceptie,7,7,6,7,4,7,7,6,6,2,2,2,,,,3,2,5,5,4,6,5,5,3,3,4,4,1,1,,,,,,,7,7,7,5,3,3,3,3,8,5,3,2,4,1,,,,,,,,,,,,,,,,,,,,1,,2,satire
0,100,1059,1,6/28/24 4:08,1,1,,31,9,,1,,1,,7,,,,,184.229,184.229,184.804,1,Over waarom hormonale anticonceptie schadelijk kan zijn en je het eigenlijk beter niet kunt gebruiken,4,3,,,,,2.023,2.023,435.604,1,,,,,"Hormonale en niet hormonale anticonceptie, waarom het toch niet zo betrouwbaae is",6,7,7,7,5,2,5,7,7,,,,1,1,6,1,1,3,6,2,1,1,1,5,5,6,1,1,1,,,,6,6,5,,,,6,4,6,5,5,1,2,2,2,1,,1,,,,,,,,,,,,,,,,,,,1,,2,regular
0,100,813,1,6/28/24 4:10,1,1,,30,5,,1,,1,,7,,,,,0,0,177.19,0,Anticonceptie ,2,3,,,,,0,0,352.851,0,,,,,De pil / anticonceptie ,6,7,7,7,6,1,7,6,6,,,,1,2,6,1,1,2,5,6,1,2,3,5,4,6,1,2,1,,,,6,6,7,,,,5,5,6,6,5,6,2,4,2,1,,1,,,,,,,,,,,,,,,,,,,3,,2,regular
0,100,975,1,6/28/24 4:13,1,1,,22,5,,1,,1,,7,4.695,5.497,192.439,2,,,,,Organiseren/ dans / haren,7,5,377.587,377.587,378.739,1,,,,,,,,,Niks voor mij,7,1,3,5,7,1,4,6,5,,,,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,3,3,1,4,5,,,,,,,4,4,4,4,4,8,5,4,5,5,,,,,,,,,,,,,,,,,,,1,,3,,2,control
0,100,1187,1,6/28/24 4:18,1,1,,24,2,,1,,1,,7,,,,,0,0,183.1,0,Anticonceptie ,3,5,,,,,,,,,0,0,362.914,0,Natuurlijke anticonceptie ,6,6,6,7,5,6,6,6,5,2,2,3,,,,4,5,6,5,3,6,5,5,2,3,4,4,4,4,,,,,,,6,6,6,6,5,3,5,4,8,5,6,4,1,1,,,,,,,,,,,,,,,,,,,,1,,2,satire
0,100,919,1,6/28/24 4:21,1,1,,31,6,,1,,1,,7,,,,,147.224,147.224,185.359,1,Gezondheidsrisicos na gebruik van de pil,1,1,0,0,365.783,0,,,,,,,,,Spaghetti,7,6,6,6,7,4,6,1,1,,,,3,4,3,6,4,5,7,3,5,4,4,4,3,4,5,5,5,5,5,4,,,,,,,6,4,5,5,5,1,1,1,4,3,,1,,,,,,,,,,,,,,,,,,,3,,2,misinfo
0,100,11,1,6/28/24 4:23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,1250,1,6/28/24 4:26,1,1,,25,5,,1,,1,,7,,,,,0,0,244.47,0,Over hormomen,4,4,,,,,0,0,351.467,0,,,,,Het ging over hormomen,5,5,6,4,6,5,5,5,5,,,,3,6,5,5,5,4,4,5,6,6,6,5,5,5,5,4,5,,,,5,5,3,,,,4,4,4,4,4,5,4,3,5,4,,1,,,,,,,,,,,,,,,,,,,3,,2,regular
0,100,920,1,6/28/24 4:28,1,1,,24,5,,1,,1,,7,68.625,68.625,192.561,1,,,,,Huishouden en make up,6,6,0,0,361.727,0,,,,,,,,,Hoe het kan dat het vlugkokende spaghetti is,5,6,6,7,6,3,5,1,1,,,,2,4,3,6,4,4,6,5,4,4,4,4,4,4,3,3,4,6,7,5,,,,,,,5,5,5,5,4,6,4,3,3,1,,1,,,,,,,,,,,,,,,,,,,3,,2,control
0,100,1054,1,6/28/24 4:30,1,1,,25,8,,1,,1,,7,,,,,8.176,197.452,246.013,4,"De pil is niet goed voor je, je kan kanker krijgen of onvruchtbaar raken",4,1,,,,,,,,,360.585,360.585,362.617,1,Over dat mensen die zeggen dat je natuurlijke anticonceptie moeten gebruiken niet helemaal gelijk hebben en dat de betrouwbare anticonceptie gewoon goed is,7,7,7,7,7,7,7,6,5,2,7,2,,,,1,1,2,7,2,4,3,3,6,6,5,1,1,1,,,,,,,6,6,6,7,3,7,2,4,8,1,5,3,1,,1,1,,,,,,,,,,,,1,,,,,,3,,2,satire
0,100,869,1,6/28/24 4:31,1,1,,33,6,,1,,1,,7,,,,,24.118,177.72,178.799,3,De nadelen van hormonale anticonceptie middelen,6,6,0,0,357.577,0,,,,,,,,,Vlugkokende spaghetti en het verschil met normale spaghetti,6,5,6,7,6,5,6,2,4,,,,3,4,5,1,2,2,6,4,1,2,2,5,4,4,1,1,1,5,4,5,,,,,,,6,5,5,3,4,1,1,2,1,1,,,,,,,,,,,,1,1,,,,,,,,3,,2,misinfo
0,100,28,1,6/28/24 4:32,1,1,,36,5,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,1035,1,6/28/24 4:38,1,1,,29,9,,1,,1,,7,199.969,199.969,201.05,1,,,,,"Indelen van de kruiden la, een dansje, opmaken ",1,4,322.449,356.092,359.655,2,,,,,,,,,Snelkookpasta,5,4,7,7,4,1,5,1,6,,,,4,5,5,2,7,4,7,4,7,7,7,5,2,5,7,5,7,6,5,3,,,,,,,7,3,6,4,6,1,2,2,3,1,,,,1,,,,,,,,,,,,,,,,,3,,2,control
